rougher	hip-hop	hip-hop
rough	!	!
roughest	"top	"top
rough	!	!
rougher	!	!
roughest	!	!
meaner	used,	used,
mean	!	!
meanest	tournaments	oriented
mean	!	!
meaner	!	!
meanest	!	!
heavier	peninsula	peninsula
heavy	well,	well,
heaviest	prolific	prolific
heavy	!	!
heavier	!	!
heaviest	simultaneously	simultaneously
mightier	!	!
mighty	!	!
mightiest	!	!
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	marco	marco
bad	neutral	neutral
worst	second.	second.
bad	said.	said.
worse	saturday	suicide
worst	withdraw	withdraw
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
wilder	freshwater	freshwater
wild	!	!
wildest	scorer	scorer
wild	!	!
wilder	!	!
wildest	!	!
stricter	clause	identity
strict	!	!
strictest	regulation	regulation
strict	!	!
stricter	!	!
strictest	!	!
narrower	forewings	forewings
narrow	!	!
narrowest	barn	barn
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	neighbourhood	neighbourhood
early	man"	man"
earliest	interviewed	interviewed
early	occasion	occasion
earlier	children’s	children’s
earliest	"high	"high
fatter	flexible	flexible
fat	!	!
fattest	favourite	gets
fat	!	!
fatter	!	!
fattest	!	!
fuller	finest	finest
full	!	!
fullest	remix	remix
full	!	!
fuller	!	!
fullest	!	!
costlier	!	!
costly	!	!
costliest	!	!
costly	!	!
costlier	!	!
costliest	!	!
tougher	hindu	hindu
tough	!	!
toughest	earning	earning
tough	!	!
tougher	!	!
toughest	!	!
gentler	!	!
gentle	!	!
gentlest	!	!
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	idaho	idaho
short	flowers	flowers
shortest	earning	earning
short	!	!
shorter	!	!
shortest	upgrade	upgrade
softer	derive	derive
soft	!	!
softest	earning	earning
soft	!	!
softer	!	!
softest	!	!
older	chicago.	chicago.
old	depend	depend
oldest	stands	stands
old	abbot	abbot
older	laying	laying
oldest	males.	males.
richer	wine	staged
rich	!	!
richest	pageant	pageant
rich	!	!
richer	!	!
richest	!	!
weaker	resulting	resulting
weak	!	!
weakest	present-day	jennifer
weak	!	!
weaker	!	!
weakest	!	!
prettier	dawn	dawn
pretty	!	!
prettiest	dawn	dawn
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	happened	happened
cool	!	!
coolest	101	1977
cool	!	!
cooler	!	!
coolest	!	!
luckier	happened	happened
lucky	!	!
luckiest	skating	winner.
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	factors	ranging
light	attack.	attack.
lightest	feed	companies.
light	!	!
lighter	!	!
lightest	prix	prix
shorter	relevant	relevant
short	open,	open,
shortest	1902,	1902,
short	!	!
shorter	!	!
shortest	peninsula	peninsula
fewer	usa,	usa,
few	kicked	kicked
fewest	usa,	usa,
few	!	!
fewer	!	!
fewest	aside	aside
sharper	outer	outer
sharp	!	!
sharpest	infection	infection
sharp	!	!
sharper	!	!
sharpest	!	!
taller	teeth	teeth
tall	!	!
tallest	toured	toured
tall	wards	wards
taller	watts	watts
tallest	!	!
smoother	variable	variable
smooth	!	!
smoothest	variable	variable
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	pretty	wong
nice	!	!
nicest	ever	informs
nice	!	!
nicer	!	!
nicest	!	!
broader	vegetation	vegetation
broad	broad	broad
broadest	perennial	perennial
broad	!	!
broader	!	!
broadest	capita	capita
savvier	!	!
savvy	!	!
savviest	!	!
savvy	!	!
savvier	!	!
savviest	!	!
greater	1920s,	1920s,
great	heath	heath
greatest	installation	installation
great	anime	marc
greater	santo	santo
greatest	capita	capita
wilder	strings	strings
wild	!	!
wildest	!	!
wild	pin	pin
wilder	possible.	possible.
wildest	!	!
smoother	shaped	shaped
smooth	!	!
smoothest	!	!
smooth	pin	pin
smoother	possible.	possible.
smoothest	!	!
mightier	!	!
mighty	!	!
mightiest	!	!
mighty	pin	pin
mightier	possible.	possible.
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	pin	pin
leaner	possible.	possible.
leanest	!	!
cleaner	quantity	quantity
clean	!	!
cleanest	!	!
clean	pin	pin
cleaner	possible.	possible.
cleanest	!	!
narrower	exit	exit
narrow	!	!
narrowest	tunnel	tunnel
narrow	!	!
narrower	!	!
narrowest	!	!
colder	"they	"they
cold	!	!
coldest	summers	summers
cold	!	!
colder	!	!
coldest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
deeper	ms.	ms.
deep	fame	fame
deepest	soils	soils
deep	!	!
deeper	!	!
deepest	pedro	pedro
taller	saxon	saxon
tall	!	!
tallest	desert	desert
tall	redevelopment	sides
taller	grave	grave
tallest	!	!
quicker	controller	tactical
quick	!	!
quickest	carry	carry
quick	!	!
quicker	!	!
quickest	!	!
narrower	triangle	triangle
narrow	!	!
narrowest	forewings	flowering
narrow	!	!
narrower	!	!
narrowest	!	!
deeper	protect	closed.
deep	studio.	studio.
deepest	mollusk	motor
deep	!	!
deeper	!	!
deepest	minutes.	minutes.
closer	preceding	preceding
close	questions	questions
closest	1924.	1924.
close	employer	employer
closer	big	big
closest	church,	church,
taller	tall,	tower
tall	!	!
tallest	lok	towers
tall	locomotives	locomotives
taller	enlarged	enlarged
tallest	!	!
kinder	vary	vary
kind	!	!
kindest	constitutes	constitutes
kind	!	!
kinder	!	!
kindest	!	!
heavier	ltd.	ltd.
heavy	ocean.	ocean.
heaviest	occupying	occupying
heavy	!	!
heavier	!	!
heaviest	place	place
mightier	!	!
mighty	!	!
mightiest	!	!
mighty	!	!
mightier	!	!
mightiest	!	!
leaner	!	!
lean	!	!
leanest	!	!
lean	!	!
leaner	!	!
leanest	!	!
smarter	ip	ip
smart	!	!
smartest	ip	ip
smart	!	!
smarter	!	!
smartest	!	!
milder	radiation	radiation
mild	!	!
mildest	romans	romans
mild	!	!
milder	!	!
mildest	!	!
weaker	radiation	radiation
weak	!	!
weakest	habitat	romans
weak	!	!
weaker	!	!
weakest	!	!
friendlier	attitude	americans
friendly	!	!
friendliest	uk,	uk,
friendly	!	!
friendlier	!	!
friendliest	!	!
livelier	!	!
lively	!	!
liveliest	!	!
lively	!	!
livelier	!	!
liveliest	!	!
younger	demonstrates	demonstrates
young	dynasty	dynasty
youngest	romans	romans
young	1989)	1989)
younger	angela	angela
youngest	draft.	draft.
clearer	migration	migration
clear	!	!
clearest	!	!
clear	usa,	usa,
clearer	indians	indians
clearest	!	!
friendlier	wins	wins
friendly	!	!
friendliest	!	!
friendly	usa,	usa,
friendlier	indians	indians
friendliest	!	!
cleaner	nebraska	nebraska
clean	!	!
cleanest	!	!
clean	usa,	usa,
cleaner	indians	indians
cleanest	!	!
stronger	reduction	reduction
strong	"a	"a
strongest	!	!
strong	avoiding	avoiding
stronger	specialised	specialised
strongest	!	!
freer	categories	categories
free	!	!
freest	!	!
free	usa,	usa,
freer	indians	indians
freest	!	!
tougher	fail	fail
tough	!	!
toughest	china's	china's
tough	!	!
tougher	!	!
toughest	!	!
funnier	!	!
funny	!	!
funniest	!	!
funny	!	!
funnier	!	!
funniest	!	!
nicer	couldn't	couldn't
nice	!	!
nicest	"is	"is
nice	!	!
nicer	!	!
nicest	!	!
greater	capable	capable
great	gmina	colleges
greatest	conquest	conquest
great	marching	marching
greater	surname	shock
greatest	gmina	gmina
bolder	mixture	mixture
bold	!	!
boldest	ready	ready
bold	!	!
bolder	!	!
boldest	!	!
poorer	worse	wage
poor	!	!
poorest	more,	quarter
poor	!	!
poorer	!	!
poorest	!	!
messier	!	!
messy	!	!
messiest	!	!
messy	!	!
messier	!	!
messiest	!	!
longer	distances	powder
long	greek	greek
longest	quarter	quarter
long	reigning	reigning
longer	objects	objects
longest	classic	broadcasting
harder	creator	creator
hard	!	!
hardest	undertook	undertook
hard	!	!
harder	!	!
hardest	!	!
wiser	foundations	foundations
wise	!	!
wisest	old	old
wise	!	!
wiser	!	!
wisest	!	!
earlier	son,	son,
early	youtube	youtube
earliest	sweden,	sweden,
early	mid	mid
earlier	asking	asking
earliest	comics	comics
sadder	!	!
sad	!	!
saddest	!	!
sad	!	!
sadder	!	!
saddest	!	!
darker	irregular	irregular
dark	mollusk	mollusk
darkest	pale	pale
dark	!	!
darker	!	!
darkest	gastropod	gastropod
quicker	son,	son,
quick	!	!
quickest	defeat	defeat
quick	!	!
quicker	!	!
quickest	!	!
brighter	son,	son,
bright	!	!
brightest	tree	tree
bright	!	!
brighter	!	!
brightest	!	!
cheaper	profits	profits
cheap	!	!
cheapest	!	!
cheap	hindwings	hindwings
cheaper	capita	capita
cheapest	!	!
higher	athletic	athletic
high	education.	education.
highest	!	!
high	vegetation	resources
higher	comparing	range
highest	!	!
fairer	capita	capita
fair	!	!
fairest	!	!
fair	hindwings	hindwings
fairer	capita	capita
fairest	!	!
wiser	request	request
wise	!	!
wisest	!	!
wise	hindwings	hindwings
wiser	capita	capita
wisest	!	!
taller	told	told
tall	!	!
tallest	!	!
tall	buddhist	buddhist
taller	valleys	greater
tallest	!	!
poorer	!	!
poor	courts.	courts.
poorest	!	!
poor	courts.	courts.
poorer	!	!
poorest	!	!
messier	!	!
messy	courts.	courts.
messiest	!	!
messy	courts.	courts.
messier	!	!
messiest	!	!
busier	!	!
busy	courts.	courts.
busiest	!	!
busy	courts.	courts.
busier	!	!
busiest	!	!
taller	!	!
tall	courts.	courts.
tallest	!	!
tall	coffee	coffee
taller	north-east	north-east
tallest	!	!
trickier	!	!
tricky	courts.	courts.
trickiest	!	!
tricky	courts.	courts.
trickier	!	!
trickiest	!	!
higher	!	!
high	continually	continually
highest	!	!
high	struggling	struggling
higher	average	average
highest	utilize	utilize
slower	!	!
slow	adapt	adapt
slowest	!	!
slow	gone	gone
slower	!	!
slowest	hindwings	hindwings
smarter	!	!
smart	gone	gone
smartest	!	!
smart	gone	gone
smarter	!	!
smartest	!	!
older	!	!
old	struggling	struggling
oldest	!	!
old	wars,	wars,
older	feed	feed
oldest	younger	younger
stronger	!	!
