rougher	deficit	deficit
rough	!	!
roughest	franklin	franklin
rough	!	!
rougher	!	!
roughest	!	!
meaner	1.3	1.3
mean	!	!
meanest	firm	firm
mean	!	!
meaner	!	!
meanest	!	!
heavier	takeover	takeover
heavy	minute	fe
heaviest	sustained	sustained
heavy	!	!
heavier	!	!
heaviest	metre	metre
mightier	powerful	powerful
mighty	!	!
mightiest	all-time	all-time
mighty	!	!
mightier	!	!
mightiest	!	!
noisier	!	!
noisy	!	!
noisiest	!	!
noisy	!	!
noisier	!	!
noisiest	!	!
worse	recalled	recalled
bad	wonder	wonder
worst	neglect	neglect
bad	physiological	physiological
worse	experiencing	experiencing
worst	everybody	everybody
sadder	afraid	afraid
sad	!	!
saddest	ain	spectacular
sad	!	!
sadder	!	!
saddest	!	!
wilder	beetle	beetle
wild	!	!
wildest	tomatoes	spectacular
wild	!	!
wilder	!	!
wildest	!	!
stricter	validity	validity
strict	!	!
strictest	maximum	maximum
strict	!	!
stricter	!	!
strictest	!	!
narrower	crosses	crosses
narrow	!	!
narrowest	mountainous	mountainous
narrow	!	!
narrower	!	!
narrowest	!	!
classier	!	!
classy	!	!
classiest	!	!
classy	!	!
classier	!	!
classiest	!	!
earlier	contractor	contractor
early	don	don
earliest	orientation	orientation
early	marsh	marsh
earlier	relationships	marsh
earliest	80s	80s
fatter	juice	juice
fat	!	!
fattest	punk	punk
fat	!	!
fatter	!	!
fattest	!	!
fuller	liberties	spectrum
full	cousin	cousin
fullest	08	08
full	!	!
fuller	!	!
fullest	theologian	theologian
costlier	contractor	contractor
costly	!	!
costliest	sum	contractor
costly	!	!
costlier	!	!
costliest	!	!
tougher	upper	iconic
tough	!	!
toughest	afraid	afraid
tough	!	!
tougher	!	!
toughest	!	!
gentler	tributaries	tributaries
gentle	!	!
gentlest	shiva	shiva
gentle	!	!
gentler	!	!
gentlest	!	!
shorter	extends	extends
short	substrate	substrate
shortest	prizes	meaning
short	!	!
shorter	!	!
shortest	cfl	cfl
softer	upper	upper
soft	!	!
softest	transparent	categories
soft	!	!
softer	!	!
softest	!	!
older	upper	upper
old	touring	touring
oldest	suffix	suffix
old	visible	visible
older	18th-century	18th-century
oldest	lovers	lovers
richer	slam	slam
rich	!	!
richest	fulfilled	fulfilled
rich	exceptionally	exceptionally
richer	abolition	abolition
richest	!	!
weaker	ions	ions
weak	!	!
weakest	gmina	strictly
weak	!	!
weaker	!	!
weakest	!	!
prettier	gonna	durham
pretty	!	!
prettiest	myth	sunshine
pretty	!	!
prettier	!	!
prettiest	!	!
cooler	mitchell	mitchell
cool	humid	humid
coolest	gmina	gmina
cool	!	!
cooler	!	!
coolest	humid	humid
luckier	slam	slam
lucky	!	!
luckiest	luke	sunshine
lucky	!	!
luckier	!	!
luckiest	!	!
lighter	radiation	radiation
light	accompanied	accompanied
lightest	plaster	arab
light	!	!
lighter	!	!
lightest	chocolate	chocolate
shorter	sunshine	defending
short	tunnel	tunnel
shortest	1924	1924
short	!	!
shorter	!	!
shortest	catalonia	catalonia
fewer	resemble	different
few	recreational	recreational
fewest	denied	denied
few	!	!
fewer	!	!
fewest	recreational	recreational
sharper	saddle	saddle
sharp	!	!
sharpest	deceased	deceased
sharp	!	!
sharper	!	!
sharpest	!	!
taller	saddle	saddle
tall	!	!
tallest	crambidae	hurdles
tall	wards	wards
taller	wards	wards
tallest	!	!
smoother	convex	convex
smooth	!	!
smoothest	convex	metric
smooth	!	!
smoother	!	!
smoothest	!	!
nicer	lets	lets
nice	!	!
nicest	metric	metric
nice	!	!
nicer	!	!
nicest	!	!
broader	veins	ft
broad	facts	facts
broadest	metric	metric
broad	!	!
